Region,Sq. Km
TELO,5.2
PARAYON,50.2
KACHERIAN,18.6
KALE,25.2
NYARPAT,6.4
SONDANY,25.3
CHONGIS,10.8
NYARKULIAN,14.5
TAPACH,64.6
KAMELEI,15.1
KAPUSIEN,10
KOKWOPSIS,12.3
SOPOWEN,7.7
TAPACH,19.5
CHERANGANY FOREST,60.9
CHERANGANY FOREST,60.9
CHERANGANY FOREST,60.9
WEST POKOT,"1,854.80"
ENDUGH,649.9
CHEWARANY,50.1
CHEWARANY,50.1
ENDUGH,69.8
CHEPTRAM,29.7
KRIICH,40.1
KASITEI,156.5
CHEPOKACHIM,46.6
KASITEI,109.9
NAKWIJIT,155.4
MERUR,29.3
NAKWIJIT,23.9
RUKEY,29.6
TAMARUKWO,46.5
TUNOYO,26.1
PTOYO,218.2
KESOT,148.3
KETIAM,32.4
PTOYO,37.4
KANYARKWAT,210.8
KACHEMUKOT,30.9
KRESWO,30.9
KANYARKWAT,179.9
ADURKOIT,26.1
KAKORURON,23.1
KANYARKWAT,56.2
KATIKOMOR,74.6
KAPENGURIA,82.6
KAIBOS,12.5
KAIBOS,5.1
KAPKATET,3.3
KIPKORINYA,4.1
KAISAKAT,32.9
KAPCHILLA,8.2
PARAYWA,8.2
SIYOI,16.5
KAPENGURIA,23.2
CHEWOYET,7.1
KAMATIRA,10.7
MWOTOT,5.4
TALAU,14.1
CHEPKOTI,4.8
KAPSURUM,5.5
TALAU,3.8
KONGELAI,239.3
KITELAKAPEL,68.4
CHELOKOKETWO,12.7
KITELAKAPEL,33.5
POOLE,22.1
KONGELAI,48.5
SIMATWA,48.5
RIWO,36.7
KONGELAI,24.3
LOKUYII,12.5
SEREWO,85.7
CHEPKRAM,12.1
KAMAYECH,20.7
MTEMBUR,41.2
SEREWO,11.7
MISKWONY,259.1
EMBOASIS,45.3
EMBOASIS,45.3
KALEMNYANG,43.8
CHESIRA,19.2
KALEMNYANG,24.6
MISKWONY,170
CHEMAKEU,67.5
LOKNA,45.8
MISKWONY,56.8
MNAGEI,233.7
CHEMWOCHOI,67
CHEPKECHIR,15.6
KOMOL,14.3
NGOLEYO,12.9
NARAMAN,24.2
KAPKORIS,33.5
CHEMWOCHOI,9.6
KAPROM,16.5
TILAK,7.4
KERINGET,35.1
CHEPTUYA,19
LOKORNOI,9.7
MORTOME,6.4
KISHAUNET,51.9
KISHAUNET,27
LITYEI,12.6
SUKUT,12.3
MNAGEI,46.2
KERINGET,15.8
PSIGIRIO,19.5
TARTAR,10.8
SOOK,179.2
CHEKOMOS,62.6
CHEKOMOS,12.6
KOCHAR,21.2
PSAPAI,13.8
SIMAT,5.4
TOMPUL,9.6
SOOK,36.5
CHEPNYAL,14.9
MUNGIT,16.8
TINDAR,4.9
TAMUGH,80.1
KOLO,25.7
LETWA,30.9
TAMUGH,23.6
SAMBURU,"21,089.70"
SAMBURU CENTRAL,"3,699.00"
KIRISIA,"1,385.80"
BARSALOI,347.5
BARSALOI,183
LULU,59.3
SOIT NAIBOR,105.2
LBUKOI,440.5
LBUKOI,215.4
MORU,225.1
MARALAL,227.4
LEDERO,22.3
LKUROTO,21.4
LPARTUK,44.5
MARALAL,22.9
MILIMANI,32.5
NGARI,64.1
SHABAA,19.6
OPIROI,314.6
LORROK-LOLMONGO,41.9
MABATI,117.8
OPIROI,154.9
SIRATA OIROBI,55.7
LEMISIGIYOI,21.7
NGENJUEMUNY,19
SIRATA OIROBI,15
LORROKI,"1,259.00"
AMAYA,183.6
LONGEWAN,76.9
AMAIYA/MUKEKAMAR,58.8
NASUR,47.9
BAAWA,146.8
BAAWA,32.3
LKILORITI,35
NAUNERI,79.5
KIRIMON,161.1
GARMA,42.9
KIRIMON,48.8
MUGUR,69.4
KISIMA,102
LAANGATOLIA,33.4
LMISIGIYIOI,45
MBARINGON,23.6
LODOKEJEK,285.5
LODOKEJEK,102.9
NONKEEK,182.6
SUGUTA MARMAR,379.9
LOGORATE,73.7
LOLMOLOK,221
SUGUTA MARMAR,85.3
MALASO,"1,054.20"
ANGATA NANYOKIE,195.1
ANGATA NANYOKIE,21.9
LOIBASHAI,53.8
MORIJO,119.4
PORO,361.4
LPOROKWAI/MALASO,18.5
MUGUR,20.6
SEKETET,55.3
SIAMBU,267
LOOSUK,497.8
LOOSUK,76.6
MALASO,38.3
PURA,143.7
TINGA,239.1
SAMBURU EAST,"10,015.50"
SEREOLIPI,"2,238.40"
NDONYO WASIN,"1,007.90"
NDONYO WASIN,"1,007.90"
SEREOLIPI,"1,230.50"
SEREOLIPI,"1,230.50"
WAMBA,"4,017.10"
KOITING,663
KOITING,628.4
LPASHIE,34.6
LODUNGOKWE,544.7
LENGEI,96.2
LPUSS,137.6
LTIRIMIN,59.5
SESIA,251.4
NAIRIMIRIMO,982.8
LMARMARIO,104.5
LOROK ONYOKIEA,350.1
RARAITI,131.5
SUARI,396.7
NGILAI CENTRAL,339.2
NGILAI CENTRAL,339.2
NGILAI WEST,380.2
GOLGOTIM,253.6
LKISIN,126.6
NKARE NAROK,554.5
NKARE NAROK,554.5
NKARONI,476
NKARONI,204.7
RESIM,108
SILANGO NANYEKIE,163.3
WAMBA,76.6
MATAKWANI,62.2
WAMBA,14.4
WASO,"3,760.00"
WASO EAST,"2,996.80"
ARCHERS POST,270.9
LARESORO,28.2
LOSESIA,"2,697.70"
WASO WEST,763.2
LENGUSAKA,150
LERATA,200.1
LPUS LELUAI,206.9
NGUTUK ONGIRON,81.1
REMOT,125.1
SAMBURU NORTH,"7,375.20"
BARAGOI,"4,533.10"
BARAGOI,805.8
BARAGOI,575.5
BENDERA,6.6
NALINGANGOR,223.7
EL-BARTA,379.2
MASIKITA,264.7
NGILAI,114.5
LATAKWENY,856.6
LATAKWENY,248.8
LOIKUMKUM,607.8
MARTI,"1,309.90"
KALELE,135.7
LOKORKOR,445
MORUAKIRING,729.3
NACHOLA,71.2
NACHOLA,15.6
NAKUPURAT,48.5
TERTER,7
NDOTO,721.1
LESIRIKAN,384.1
LOODUA,110.2
SEREN,226.9
SUYAN,389.2
MARTI,144.2
SUYAN,245
NYIRO,"2,842.10"
ARSIM,469.5
ARSIM,211.4
ILLAUT,85.4
NGURUNIT,172.8
KAWOP,"1,285.80"
LONYANGATEN,34.8
LOSURKOI,"1,245.20"
NAKWEEI,5.8
PARKATI,369.8
PARKATI,30.8
LKAYO,339
SOUTH HORR,219
LOONJORIN,117.2
SOUTH HORR,101.8
TUUM,237.9
EJUK,94.7
TUUM,143.1
WASO RONGAI,260.2
LKOTIKAL,59.5
SIMALE,162.1
WASO RONGAI,38.6
TRANS NZOIA,"2,495.20"
TRANS NZOIA WEST,355.4
SABOTI,156
SABOTI,55.5
SABOTI,55.5
KIBOROA,58.5
KIBOROA,58.5
MACHEWA,42.1
MACHEWA,42.1
KINYORO,138.3
KISAWAI,71.4
TELDET,71.4
KINYORO,66.9
KINYORO,31
KIPYOYWAN,35.9
CENTRAL,61.1
TUWAN,1.5
TUWAN,1.5
MUNICIPALITY,4.9
KIPSONGOK,2.2
BONDENI,2.7
GRASSLAND,28.3
GRASSLAND,28.3
MATISI,26.5
MATISI,14.2
RAFIKI,12.3
TRANS NZOIA EAST,629.1
KAPLAMAI,334.3
KAPLAMAI,59.5
KARARA,21.3
KIMOSON,38.2
MOTOSIET,56.3
MOTOSIET,56.3
MAKUTANO,82.1
KAPSARA,33.5
BIRBIRIET,23
KAPOLET,25.7
MICHAI,41.6
MICHAI,22.3
MAKINDU,19.3
SITATUNGA,64.2
SITATUNGA,64.2
SINYERERE,30.7
SINYERERE,14.2
KIPSAINA,16.4
CHERANGANY,294.7
CHERANGANY,86.5
KACHIBORA,32.9
NZOIA,53.6
CHEPSIRO,71.8
KIBUSWA,44.3
KAPSIGILAI,27.5
SUWERWA,51.7
KAPTERIT,19.4
KAPTUMBO,17.1
KAPKARWA,15.2
MILIMANI,50.9
MILIMANI,36.1
KIPTOI,14.8
KIPTOROR,33.8
TOP SUWERWA,13.2
GETA,20.6
KWANZA,465.3
KWANZA,465.3
KWANZA,96.6
KWANZA,61.5
KEIYO,35.1
KAPSITWET,28.8
KAPSITWET,17.3
LIYAVO,11.4
KAPOMBOI,194.3
KAPOMBOI,61.5
KAPKOI,48.1
KOLONGOLO,35.1
KOBOS,49.6
BIDII,26.4
BIDII,26.4
KAISAGAT,105.3
KAISAGAT,40.7
AMUKA,53.8
KARAUS,10.8
NAMANJALALA,13.9
NAMANJALALA,13.9
ENDEBESS,678.4
ENDEBESS,678.4
ENDEBESS,200.1
ENDEBESS,72
CHORLIM,128.1
KAIBEI,152
MATUMBEI,86.2
MUBERE,65.8
CHEPCHOINA,326.4
KAPTEGA,213.4
KIPTOGOT,61.3
TWIGA,51.7
KIMININI,366.9
KIMININI,193.8
SIKHENDU,31.4
SIKHENDU,31.4
BARATON,63.7
BARATON,63.7
MATUNDA,27.4
MATUNDA,27.4
WEONIA,29.8
WEONIA,29.8
KIMININI,41.6
KIMININI,16.5
NABISWA,25.1
WAITALUK,173.1
MABONDE,46.2
MABONDE,46.2
WAITALUK,53.7
KAPKOI SISAL,53.7
SIRENDE,38.5
SIRENDE,38.5
KIBOMET,21.7
NAISAMBU,21.7
MILIMANI,13
MILIMANI,13
UASIN GISHU,"3,398.60"
AINABKOI,482.7
AINABKOI,455.7
AINABKOI,60.3
KAPSENGWET,39.4
NDANAI,20.9
CHEPKERO,43.5
CHEPKERO,26.7
KAPSUNDEI,16.8
CHEPNGOROR,29.3
CHEPNGOROR,8.7
KOILUGET,10.9
TINGWA,9.8
KAPNGETUNY,28.8
KAPNGETUNY,16.6
SILIBOI,12.3
KAPSOYA,44.4
KAPSOYA,44.4
KAPTAGAT,67
LOTONYOK,32.8
TENDWO,34.2
KIPKABUS,54.6
KAPLELACH,27.8
SONGICH,15.1
TILOL,11.6
KIPSINENDE,55.3
CHEPTIGIT,12.2
KIPSINENDE,13
KONGASIS,30.1
OLARE,46.3
BURNT FOREST,8
KAPKENO,38.3
PLATEAU,26.2
CHEPKONGONY,15
CHESOGOR,11.2
AINABKOI FOREST,27.1
AINABKOI FOREST,27.1
AINABKOI FOREST,27.1
KAPSERET,299.3
KAPSERET,299.3
KAPSERET,100.4
CHEPKATET,56.6
LEMOOK,43.8
NGERIA,108.8
KABONGO,55.9
KAPLELACH,53
PIONEER,45.2
LANGAS,45.2
SIMAT,44.8
SIMAT,44.8
KESSES,747.7
KESSES,516.4
CHEPTIRET,38.3
CHEPTIRET,21.6
MUGUNDOI,16.7
CHUIYAT,27.8
KOISAGAT,27.8
KAPKOI,37.4
EMKWEN,20.5
KAPTUMO,16.9
KESSES,66.1
KESSES,66.1
KIPCHAMO,73.7
LENGUT,27.6
SAROIYOT,46.1
MEGUN,75.6
MEGUN,30.4
NDUBENETI,26.3
SONGOLIET,18.8
OLLEINGUSE,50.2
LAINGUSE,50.2
TARAKWA,79.1
LINGWAI,26.3
TARAKWA,52.8
TIMBOROA,34.4
CHEGAIYA,17.7
KIPKURERE,16.7
TULWET,33.9
TULWET,33.9
LORENGE FOREST,231.3
LORENGE FOREST,231.3
LORENGE FOREST,231.3
MOIBEN,769.8
MOIBEN,769.8
CHEPKOILEL,21
KIMUMU,11.2
SIGOT,9.7
KAPLOLO,41.3
CHEPLASKEI,19
USWO,12.8
KAPLOLO,9.5
KARUNA,96.4
KAPSUBERE,34.5
SOSIO,61.9
KIMONING,62.9
CHEBURBUR,17.5
KAMAUA,18.7
KIMONING,26.7
KOITOROR,62.7
KAPTUKTUK,26.3
TUIYOLUK,36.4
MEIBEKI,132.3
KAPSILIOT,46.9
MEIBEKI,85.5
MOIBEN,110.8
MOIBEN,67.9
TOLOITA,42.9
MUMETET,44.3
MEREWET,20.6
TOROCHMOI,23.7
SERGOIT,164.6
CHEPKOILEL,60.2
KELJI,61.2
SERGOIT,43.3
TEMBELIO,33.5
ELGEYO BORDER,21.6
KAPKEI,11.9
SOY,667.6
SOY,667.6
BARSOMBE,33.4
BARSOMBE,33.4
KAPSANG,43.7
KAPSANG,43.7
KIBULGENY,21.6
KAMUKUNJI,21.6
KIPSOMBA,114.1
KIPSOMBA,82.8
MOBET,31.3
KOISAGAT,61.2
KOISAGAT,19.1
LOLKINYEI,42.1
KONGASIS,74.3
KONGASIS,74.3
KUINET,57.9
KUINET,57.9
MATUNDA,35.7
KAPKURES,20.6
MATUNDA,15.1
MOI'S BRIDGE,59.1
JABALI,32.2
MOI'S BRIDGE,26.9
SEGERO,42.3
KAPNGETUNY,16
SEGERO,26.3
SIRIKWA,29.5
LEGEBET,9.8
SIRIKWA,19.7
SOY,55.8
SINONIN,25.3
SOY,30.5
ZIWA,39.1
KEROTET,21
ZIWA,18.1
TURBO,431.4
TURBO,431.4
CHEPSAITA,36.3
CHEPSAITA,36.3
KAMAGUT,34.8
SAMBUT,34.8
KAPTEBEE,28.9
KAPTEBEE,28.9
KAPYEMIT,18.7
HURUMA,5.6
KAPSAOS,13.1
KIBULGENY,11.3
KILIMANI,11.3
KIPLOMBE,98.2
KIPLOMBE,98.2
LESERU,29.8
CHEMALAL,12.6
LESERU,17.2
NGENYILEL,58.1
MURGUSI,19.2
OSORONGAI,38.9
SOSIANI,39.8
SOSIANI,39.8
SUGOI,48.6
KAPKONG,28.6
KOSACHEI,20.1
TAPSAGOI,26.9
TAPSAGOI,16.7
TURBO,10.3
ELGEYO/MARAKWET,"3,032.10"
KEIYO NORTH,543.2
KAMARINY,186
CHEBAROR,17.8
CHEBOKOKWA,5
KAPKESSUM,7.9
MINDILILWO,4.9
IRONG,28.8
ITEN TOWNSHIP,4.5
KATALEL,13.1
KIPTABUS,11.2
KAMOGICH,108.3
ANIN,41
KESSUP,18.7
RIMOI,26.2
SIROCH,22.4
SERGOIT,31.1
CHESITEK,8.2
KAPLAMAI,10.9
SERGOIT,12
KAPCHEMUTWA,242.8
KAMOI,15.1
KAPKONGA,9.8
SINGORE,5.2
KAPCHEMUTWA,66.2
BUGAR,4.8
KAPKATUI,9.9
KENDUR,35.9
KORKITONY,15.7
KEU,119.7
CHEGILET,32.9
CHEPTARIT,20.4
KABULWO,20.6
KAMOINGON,45.7
KOKWAO,41.8
EMSOO,9.9
KAPCHELAL,8.9
KAPTUM,5.7
KIBENDO,12.1
NYALIL,5.2
TAMBACH,114.3
KIPTUILONG,67.2
KAPTERIK,19.4
KIPKA,29
SETEK,18.8
MUTEI,47.1
CHELINGWA,10.6
KAPKOI,9.1
KAPTEREN,16.3
KIPSOEN,11
KEIYO SOUTH,897.8
CHEPKORIO,296.3
KABIEMIT,53.5
CHEBOEN,11.1
KABIEMIT,12.9
KAPCHEBELEL,20.4
KAPKOMA,9.1
KAPTARAKWA,59.5
KAPTAGAT,35.8
KAPTARAKWA,6.8
MOKWO,16.9
KITANY,46.6
CHEBIOR,34.5
KITANY,12.1
MARICHOR,69.1
CHEPKORIO,16.8
CHEROTA,4.6
FLAX,30.3
KAMELIL,5.3
LELBOINET,8.4
SAMICH,3.8
MOSOP,38
KAPKENDA,10.4
KIPTULOS,27.6
NYARU,29.6
KAPCHEPTEK,21.6
KIPSAINA,4.5
MWEN,3.5
METKEI,207
KAMWOSOR,27.2
KAMWOSOR,6.2
KAPCHORWA,7.2
KIMAMET,3.9
KIPTENGWER,5
KOMBATICH,4.8
KAPKWONI,10.7
CHEBOGE,5.7
KIPSAOS,5
KOCHOLWO,82.9
ENEGO,12.9
KAPKOSOM,31
KOCHOLWO,21.6
MOLOL,7.2
SALAWA,10.2
MAOI,33.2
KAPKITONY,9.7
KETIGOI,13.6
KIPKOMWO,9.9
METKEI,18.9
KABRIRSUS,10.7
TUGUMOI,8.1
TUMEIYO,34.2
CHEPKOSOM,7.1
CHEPKURMUM,12.5
TAMBUL,9.1
TUMEIYO,5.5
SOY,394.5
CHEMOIBON,120.8
CHEPSIREI,33.3
KOIMUR,46.7
TUMEIYO,40.7
CHEPSIGOT,29.1
CHEBINYINY,18.2
KABITO,10.9
EPKE,45.2
CHEPSIGOT,35.7
EPKE,9.4
KIBARGOI,86.6
CHANGACH,14.7
CHEPTEBO,28.4
EMSEA,24.4
ROKOCHO,19.1
SOY,112.9
CHOP,5.9
KAPSOGOM,20.8
MOROP,28.7
MUSKUT,28.6
SEGO,13.2
TURESIA,15.7
MARAKWET EAST,853.2
CHESONGOCH,93.7
CHEMWONYO,16.2
KOMBASES,10.3
LUKUGET,5.9
KIBAIMWA,11.2
CHESETAN,9
CHUGOR,1.6
RATIA,0.7
KIPTUMBUR,10.7
KIPYEBO,8.5
KUMBULUL,2.2
MON,20.4
KAPTORA,6.3
MOGIL,14.1
MURKUTWO,35.2
ENOU,5.4
KISOKA,6.1
MACHAMBER,3.9
MURUBER,10.5
ROCHO,9.4
KAPYEGO,79.2
KAPTICH,19.1
CHEPTOBOT,5.2
KAMASIA,5
SEGUT,8.9
KAPYEGO,42
KAPYEGO,8
KESSOM,5
TENDERWA,29
KARARIA,18
KARARIA,18
TIRAP,117
EMBOBUT,17.5
ENDUL,8.4
MARON,9.1
EMBOLOT,29.9
KAITAMOI,7.9
KOROU,9.4
MUMOL,12.6
KIPCHUMWA,20.7
WEWO,6.3
KIPCHUMWA,14.3
KIPKANER,17.7
CHESIYO,7.4
KIMUREN,6.1
TUTURUNG,4.2
KOIBATEK,16.5
MAINA,6.3
METIPSOO,5.1
NYIRAR,5.1
SAMBIRIR,14.7
CHEMWOROR,2.9
CHESOI,5.3
KAPKUTO,2.9
KAPSICHA,3.6
TOT,184.7
ENDO,21.8
BARKELAT,13.6
KOWOW,8.2
KABEN,26.4
KABEN,14
MARICH,12.4
KETUT,35.9
KAPKONDOT,18.8
KETUT,17
KIBIRIEM,25.3
SAGAT,4.4
SIBOW,7.6
TIRKIYOW,13.3
KOIBIRIR,27.7
KASEMOI,17.3
KIMAUS,5
KISIWEI,5.5
MOKORO,33.3
KAKIPTUL,24.9
OLOT,8.4
TALAI,14.4
TALAI,14.4
CHERENGANY FOREST,378.6
CHERENGANI FOREST,378.6
CHERENGANI FOREST,378.6
MARAKWET WEST,737.9
CHEBIEMIT,138
CHEBIEMIT,31.9
CHEBIEMIT,14.7
NERKWO,17.2
KUSERWO,77
CHEPTONGEI,9.3
CHEPTULON,13.3
JEMUNADA,15.3
KIMNAI,21.3
YEMIT,17.8
MOIBEN,29.1
KILIMA,20.8
SIMBEIYWET,8.3
CHEBORORWA,88.1
CHEBORORWA,25
BUSIESO,17.3
KABELIO,7.7
CHERENGANY,28.5
KOITUGUM,17.2
TENDEN,11.2
KAPTIONY,17.1
CHEPKAWAI,4.8
KAMANIN,5.6
KAPTIONY,6.6
KONDABILET,17.4
KAPCHEBIT,6.9
KONDABILET,10.6
KAPCHEROP,255.2
CHEBAI,20.4
CHEBAI,5.3
YATOI,15
KAMOI,26.1
KAKISANGO,18.4
KAMOI,4
KIBUGA,3.7
KAPTEBER,64.4
KAPCHEPSAR,23.1
KORONGOI,41.2
KAPTERIT,13.9
KIPSAMBACH,11.4
KAPTERIT,2.5
KOISUNGUR,51.9
KIBIGOS,24
KOKWONGOI,9.2
MOSONGO,18.7
ROGOR,56.5
KAPOLET,16.7
ROGOR,39.8
SENGWER,22.1
KAPCHEROP,12.9
KIPSERO,9.2
KAPSOWAR,91.1
KAPSOWAR,6.9
KAPSOWAR,3.4
TALAI,3.5
KAPSUMAI,17.4
KAPSUMAI,10
SINON,7.5
KIPSAIYA,23.6
KIPSAIYA,10.4
SISIYA,5.8
TUMEIYO,7.3
KOIBARAK,43.2
KOBUSWO,13.5
SANGURUR,12
TUIYOBEI,17.6
LELAN,87
KAPKOCHUR,46.2
CHORWA,12.8
KAPKOCHUR,14.7
KAPTALAMWA,9.9
KIBIRECH,8.8
LELAN,40.8
CHEMOSONG,13.5
KAPSAIT,15.8
KERER,11.5
TUNYO,78.6
ARROR,45.1
ARROR,6.9
KILOS,21.4
KOITILIAL,8.6
NIWAI,8.1
CHESUMAN,33.5
CHEPKUM,5.1
CHEPTEMBERERWO,10.5
KAPCHEMUTA,8.8
RESIM,9
NANDI,"2,849.40"
CHESUMEI,474.6
CHEMUNDU,243
CHEMUNDU,38.9
BARATON,38.9
CHEPTERIT,21.9
CHEPTERIT,7.1
KAMONJIL,7.4
SEGUT,7.3
KAMOIYWO,47.9
KAMOIYWO,10.9
KIMNGERU,18.6
SANIAK,18.3
KAPNGETUNY,14
KAMURGUIYWA,5.1
KAPNGETUNY,8.9
KAPSISIYWA,13.9
CHEPKOBER,3.1
SIRONOI,2.9
TALAI,7.9
KAPTEL,29
KAPTEL,29
KAPTILDIL,16.4
KAPTILDIL,16.4
KIPTUIYA,32.9
KAPCHORWA,15.5
KAPTOBONGEN,8.2
KIPTUIYA,9.2
KOMBE,28.1
KOMBE,28.1
KOSIRAI,162.3
BIRIBIRIET,12.2
BIRIBIRIET,6.7
NDONYONGARIA,5.5
ITIGO,25.1
AINAPMOI,9.1
ITIGO,8.6
KIBOSWA,7.5
KOKWET,16.4
KOKWET,8.4
TEBESON,8
KOSIRAI,25.1
BELEKENYA,9.6
KOSIRAI,8
NDAPTABWA,7.5
LELMOKWO,14.1
KIPKONGORWA,6.5
LELMOKWO,7.7
MUTWOT,36.4
CHEPTARIT,7
MOSORIOT,4.1
MUTWOT,25.2
NGECHEK,32.9
KIPCHUNU,5.1
LELBOINET,6
MATEGET,11.1
NGECHEK,10.6
NANDI NORTH FOREST,38.4
NANDI NORTH FOREST,38.4
NANDI NORTH FOREST,38.4
NANDI SOUTH FOREST,30.9
NANDI SOUTH FOREST,30.9
NANDI SOUTH FOREST,30.9
NANDI CENTRAL,362.4
KAPKANGANI,86.5
CHEPKUMIA,42.8
CHEBOITE,13.4
CHEPKUMIA,29.3
KAPKANGANI,43.7
CHEPSONOI,10.1
KIBORGOK,20.9
TINDINYO,12.7
KAPSABET,46.3
KAMOBO,14.4
KAMOBO,14.4
KAPSABET,4.3
KAPSABET TOWNSHIP,4.3
KIMINDA,27.6
KIMINDA,14
MESWO,13.6
KILIBWONI,162.8
ARWOS,14.2
ARWOS,5.5
KAPTENDON,3.4
TIRYO,5.3
KABIRIRSANG,10.8
CHESUWE,3.4
KABIRIRSANG,4.2
UNDERIT,3.1
KAPLAMAI,19.9
KAPCHEMOIYWO,5.1
KAPLAMAI,5.2
KAPSUMBEIYWO,4.8
KAPTAGUNYO,4.7
KILIBWONI,19.2
KAPLONYO,5.9
KAPNYEBERAI,6.8
KILIBWONI,6.5
KIPSIGAK,14.9
KAPKERUGE,3.7
KIPSIGAK,5.9
KIPSOTOI,5.3
KIPTURE,12.7
IRIMIS,2.5
KIMAAM,2.9
KIPTURE,7.2
LOLMININGAI,26.4
KABORE,5.4
KIPLOLOK,7.1
LOLMININGAI,6.1
NDUBENETI,7.7
TERIGE,15.7
EMDIN,3.9
SONGOLIET,7.9
TERIGE,3.9
TULON,29.1
KAPCHEPSIR,6.7
KAPCHUMBA,6.9
KIPTENDEN,10.3
TULON,5.2
NANDI SOUTH FOREST,66.7
NANDI SOUTH FOREST,66.7
NANDI SOUTH FOREST,66.7
NANDI EAST,391.6
NANDI HILLS,214.7
AINAPNGETUNY,14.6
AINAPNGETUNY,5
KISOGA,2.9
TOROTON,6.8
CHEBARUS,8.7
CHEBARUS,2.3
CHEBOIN,6.4
CHEMOMI,28.8
CHEMOMI,10.7
KIRONDIO,9.9
SOIYET,8.2
CHEPTILILIK,10
CHEPTILILIK,6.6
KAPKOROS,1.5
KAPTIEN,1.8
KAPCHORUA,25
KAPCHORUA,6
KELBUI,8.8
KIPKOROM,4.1
SIRWA,6.2
KAPKOROS,12.8
KAPKOROS,3.9
KAPSOKIO,2.7
TERENO,6.2
KAPLELMET,15.6
KAPLELMET,2.8
KETBARAK,6.8
KETENG,3.1
KIMOLONIK,2.9
KIPSEBWO,7.5
KABOTE,0.8
KALEL,4.6
KIPSEBWO,2.2
KOSOIYWO,5.9
KOSOIYWO,2.2
SAMOEI,1.7
SINENDET,2
MOGOBICH,30.2
KIPKEIGEI,9
KIPKOIMET,9.8
MOGOBICH,11.4
NANDI HILLS,5.8
KAPNGETUNY,1.5
KIPSAMO,2.9
TURURO,1.4
SIRET,15.3
CHEPTABACH,8.8
SIRET,6.5
TAITO,15.6
KAPKEMBUR,3.2
KIPCHAMO,10.6
TAITO,1.7
TARTAR,18.9
KAPKORIO,10.2
TARTAR,8.7
OLLESSOS,115.4
CHEPKUNYUK,12.1
CHEPKUNYUK,5.1
KAPCHURIAI,4.3
KIPSERGECH,1.3
NDUROTO,1.5
KIBABET,8.4
KIBABET,2.6
KIBIOK,1.1
KIPKOROR,4.8
KOILOT,44.4
CHEPNGETUNY,3
CHEPTUINGENY,9.5
KEBEN,12.1
KOILOT,9.8
SIGILAI,9.9
LELWAK,11.1
LELWAK,7
OLDOLDOL,1.9
TIGITYO,2.1
OLLESSOS,11.5
KAPKORIO,2.1
MOGOON,4.6
OLLESSOS,4.8
SIWO,8.6
CHEBILAT,3.1
CHOIMIM,3.9
SIWO,1.6
SOCHOI,19.2
LOLDUGA,8.7
SOCHOI,10.6
NORTH TINDERET FOREST,61.6
NORTH TINDERET FOREST,61.6
NORTH TINDERET FOREST,61.6
NANDI NORTH,606.3
CHEPTERWAI,85.5
CHEPTERWAI,18.9
CHEPTERWAI,2.7
CHEPTONON,6.8
SINGILET,3
TERESIA,6.4
KAMASAI,15.1
KAMASAI,4.3
KAPCHEBOSEI,4.7
SOSIOT,6.1
KAPKOIMUR,13.6
KAPKENYELOI,3.9
KAPKOIMUR,9.7
KIMNG'OROR,16.1
KAPTER,4.3
KIMNG'OROR,7.1
KOIBAN,4.7
SOIMINING,21.7
CHEPSAITA,4.1
CHEPTILIL SUSWO,12.6
SOIMINING,5
KABIYET,247.2
KABISAGA,63.2
CHEPKOIYO,23.1
CHEPTIL,20.8
KABISAGA,19.3
KABIYET,31.9
CHEPTUIYET,13.5
KABIYET TOWNSHIP,8.4
NDULELE,9.9
KAMASIA,16.4
KAMASIA,7.1
KAPKAGARON,9.3
KEBULONIK,40.2
CHEPLELAIBEI,10.7
KEBULONIK,20.1
RUBET,9.4
LOLKERINGET,36.2
CHEMNOET,6.9
KAIBOI,11.8
KOISOLIK,5.1
LOLKERINGET,12.5
SANGALO,44.5
KAMWEGA,22.7
KIPSAMOITE,9.8
SANGALO,11.9
SIGOT,14.7
CHEPKATET,4.7
SIGOT,10
KIPKAREN,138.5
CHEPKEMEL,24.5
CHEPKEMEL,14.3
NGENYILEL,10.2
KABIEMIT,18.8
KABIEMIT,8.8
KAPLEMUR,10
KAPKATET,13.5
KAPKATET,13.5
KIPKAREN SALIENT,25.2
KAPSERTON,11.5
KIPKAREN,13.7
LABORET,20.3
LABORET,20.3
NDALAT,36.1
KAIGAT,7
LEMOOK,11.7
NDALAT,10.9
NYIGOON,6.6
KURGUNG,83.9
KAMUNGEI,9.9
KAMUNGEI,9.9
KAPTICH,14.6
KAPSABAOT,4.3
KAPTICH,6.1
OLMAROROI,4.1
KURGUNG,17.4
KAPKOROS,4.7
KIPTANGUS,6.6
KURGUNG,6.1
SARORA,29.6
CHEPTARIT,7.5
KIMONG,11.7
SARORA,10.3
SURUNGAI,12.5
NGOROIN,3.6
SURUNGAI,8.8
NANDI NORTH FOREST,51.2
NANDI NORTH FOREST,51.2
NANDI NORTH FOREST,51.2
NANDI SOUTH,457.4
ALDAI,294.4
BONJOGE,15.9
CHEPKUNY,2
KAPKEBEN,5.5
KENYOR,5
KERERI,3.4
CHEBILAT,20.1
CHEBILAT,4.9
CHEPKETEMON,6.6
KAPSAGAWAT,3.9
KIPTARUSWO,4.7
KAPKERER,11.2
KAPKERER,11.2
KAPKOLEI,15.8
KAPKOLEI,5.8
KIMOLWO,4.8
URWOGOI,5.2
